event	contribution_type	contribution_value	contribution_unit	importance
X40	probability	0.05579	1	0.5255
X33	probability	0.04959	1	0.4671
X24	probability	0.03623	1	0.3412
X35	probability	0.03103	1	0.2923
X5	probability	0.03063	1	0.2885
X26	probability	0.01956	1	0.1843
X30	probability	0.01629	1	0.1534
X37	probability	0.01629	1	0.1534
X9	probability	0.01392	1	0.1311
X32	probability	8.466E-3	1	0.07973
X17	probability	2.78E-3	1	0.02618
X31	probability	7.9E-4	1	7.441E-3
X1	probability	4.049E-4	1	3.813E-3
X2	probability	4.049E-4	1	3.813E-3
X3	probability	4.049E-4	1	3.813E-3
X4	probability	4.049E-4	1	3.813E-3
X46	probability	4.049E-4	1	3.813E-3
X10	probability	0	1	0
X11	probability	0	1	0
X12	probability	0	1	0
X13	probability	0	1	0
X14	probability	0	1	0
X15	probability	0	1	0
X16	probability	0	1	0
X18	probability	0	1	0
X19	probability	0	1	0
X20	probability	0	1	0
X21	probability	0	1	0
X22	probability	0	1	0
X23	probability	0	1	0
X25	probability	0	1	0
X27	probability	0	1	0
X28	probability	0	1	0
X29	probability	0	1	0
X34	probability	0	1	0
X36	probability	0	1	0
X38	probability	0	1	0
X39	probability	0	1	0
X41	probability	0	1	0
X42	probability	0	1	0
X43	probability	0	1	0
X44	probability	0	1	0
X45	probability	0	1	0
X6	probability	0	1	0
X7	probability	0	1	0
X8	probability	0	1	0
