event	contribution_type	contribution_value	contribution_unit	importance
O_8	probability	0.1	1	0.8929
A_9	probability	0.012	1	0.1071
O_9	probability	0.01	1	0.08929
A_10	probability	2E-3	1	0.01786
L	probability	1E-3	1	8.929E-3
O_10	probability	1E-3	1	8.929E-3
A_1	probability	0	1	0
A_2	probability	0	1	0
A_3	probability	0	1	0
A_4	probability	0	1	0
A_5	probability	0	1	0
A_6	probability	0	1	0
A_7	probability	0	1	0
A_8	probability	0	1	0
O_1	probability	0	1	0
O_2	probability	0	1	0
O_3	probability	0	1	0
O_4	probability	0	1	0
O_5	probability	0	1	0
O_6	probability	0	1	0
O_7	probability	0	1	0
