event	contribution_type	contribution_value	contribution_unit	importance
A_7	probability	0.01112	1	1
O_7	probability	0.01	1	0.899281
A_8	probability	1.12E-3	1	0.100719
O_8	probability	1E-3	1	0.0899281
A_9	probability	1.2E-4	1	0.0107914
O_9	probability	1E-4	1	8.99281E-3
A_10	probability	2E-5	1	1.79856E-3
L	probability	1E-5	1	8.99281E-4
O_10	probability	1E-5	1	8.99281E-4
A_1	probability	0	1	0
A_2	probability	0	1	0
A_3	probability	0	1	0
A_4	probability	0	1	0
A_5	probability	0	1	0
A_6	probability	0	1	0
O_1	probability	0	1	0
O_2	probability	0	1	0
O_3	probability	0	1	0
O_4	probability	0	1	0
O_5	probability	0	1	0
O_6	probability	0	1	0
