event	contribution_type	contribution_value	contribution_unit	importance
A_5	probability	0.0111112	1	1
O_5	probability	0.01	1	0.899993
A_6	probability	1.1112E-3	1	0.100007
O_6	probability	1E-3	1	0.0899993
A_7	probability	1.112E-4	1	0.0100079
O_7	probability	1E-4	1	8.99993E-3
A_8	probability	1.12E-5	1	1.00799E-3
O_8	probability	1E-5	1	8.99993E-4
A_9	probability	1.2E-6	1	1.07999E-4
O_9	probability	1E-6	1	8.99993E-5
A_10	probability	2E-7	1	1.79999E-5
L	probability	1E-7	1	8.99993E-6
O_10	probability	1E-7	1	8.99993E-6
A_1	probability	0	1	0
A_2	probability	0	1	0
A_3	probability	0	1	0
A_4	probability	0	1	0
O_1	probability	0	1	0
O_2	probability	0	1	0
O_3	probability	0	1	0
O_4	probability	0	1	0
